shotNumb,first frame,last frame
1,4,7,0
1,0,0,1
1,1,8,5
shotNumb,first frame,last frame
0010,1001,1167
0020,1001,1145
0030,1001,1130
0040,1001,1116
0050,1001,1071
0060,1001,1140
0070,1001,1090
0080,1001,1138
0090,1001,1067
0100,1001,1107
0110,1001,1065
0120,1001,1081
0130,1001,1123
0140,1001,1249
0150,1001,1113
0160,1001,1113
0170,1001,1104
0180,1001,1113
0190,1001,1092
0200,1001,1126
0210,1001,1216
0211,1001,1216
0220,1001,1141
0230,1001,1107
0240,1001,1100
0250,1001,1205
0260,1001,1111
0270,1001,1056
0280,1001,1060
0290,1001,1052
0300,1001,1046
0310,1001,1047
0320,1001,1032
0330,1001,1028
0340,1001,1035
0350,1001,1041
0360,1001,1036
0370,1001,1032
0380,1001,1034
0390,1001,1044
0400,1001,1035
0410,1001,1048
0420,1001,1049
0430,1001,1036
0440,1001,1042
0450,1001,1032
0460,1001,1031
0470,1001,1028
0480,1001,1036
0490,1001,1059
0500,1001,1052
0510,1001,1067
0520,1001,1061
0530,1001,1078
0540,1001,1075
0550,1001,1075
0560,1001,1073
0570,1001,1054
0580,1001,1077
0590,1001,1087
0600,1001,1107
0610,1001,1122
0620,1001,1068
0630,1001,1093
0640,1001,1029
0650,1001,1029
0660,1001,1049
0670,1001,1048
0680,1001,1121
0690,1001,1078
0700,1001,1099
0710,1001,1110
0720,1001,1048
0730,1001,1044
0740,1001,1048
0750,1001,1153
0760,1001,1078
0770,1001,1089
0780,1001,1067
0790,1001,1042
0800,1001,1096
0810,1001,1043
0820,1001,1071
0830,1001,1086
0840,1001,1103
0850,1001,1078
0860,1001,1050
0870,1001,1032
0880,1001,1031
0890,1001,1065
0900,1001,1059
0910,1001,1054
0920,1001,1054
0930,1001,1054
0940,1001,1065
0950,1001,1058
0960,1001,1050
0970,1001,1033
0980,1001,1053
0990,1001,1045
1000,1001,1032
1010,1001,1050
1020,1001,1059
1030,1001,1100
1040,1001,1090
1050,1001,1045
1060,1001,1025
1070,1001,1053
1080,1001,1073
1090,1001,1092
1100,1001,1074
1110,1001,1045
1120,1001,1056
1130,1001,1108
1140,1001,1097
1150,1001,1056
1160,1001,1054
1170,1001,1098
1180,1001,1075
1190,1001,1108
1200,1001,1111
1210,1001,1073
1220,1001,1112
1230,1001,1073
1240,1001,1064
1250,1001,1071
1260,1001,1077
1270,1001,1129
1280,1001,1104
1290,1001,1111
1300,1001,1081
1310,1001,1055
1320,1001,1276
1330,1001,1127
1340,1001,1063
1350,1001,1141
1360,1001,1071
1370,1001,1123
1380,1001,1155
1390,1001,1083
1400,1001,1113
1410,1001,1142
1420,1001,1069
1430,1001,1318
1440,1001,1169
1450,1001,1153
1460,1001,1099
1470,1001,1185
